movie,processed_movie,expanded-genres,Associated Music Genres
   Ice Age (Franchise),ice age,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Kung Fu Panda (franchise),kung fu panda,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   High School Musical (Film Trilogy),high school musical,,"romantic,happy,pop"
   The Spider-Man Trilogy,the spider-man trilogy,,"rock,jazz,alternative,trip-hop"
   DC Extended Universe,dc extended universe,,"acoustic,punk,ambient,dubstep,hard-rock,ambient"
   The Jungle Book (1967),the jungle book,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   The Kissing Booth,the kissing booth,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Megamind (2010),megamind,"Animation, Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Coraline (2009),coraline,"Animation, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Bohemian Rhapsody (2018),bohemian rhapsody,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Monsters Inc. (2001),"monsters, inc.","Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   1917 (2019),1917,"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   The Great Gatsby (2013),the great gatsby,"Drama, Music, Mystery","jazz,piano,funk,pop,downtempo,indie-pop,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
   The Rocky Horror Picture Show (1975),the rocky horror picture show,"Comedy, Horror, Musical","darkwave,dance,ambient,r-n-b,pop,singer-songwriter,dark-ambient,noise,musical-theatre,metal,electronic,indie,industrial,soul"
   Baby Driver (2017),baby driver,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Cinderella (1950),cinderella,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Inglourious Basterds (2009),inglourious basterds,"Adventure, Drama, War","acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   The Nightmare Before Christmas (1993),the nightmare before christmas,"Animation, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Moana (2016),moana,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Portrait of a Lady on Fire (2019),portrait of a lady on fire,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Clueless (1995),clueless,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   The Little Mermaid (1989),the little mermaid,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Lolita (1997),lolita,"Crime, Drama, Romance","piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   Despicable Me,despicable me,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Pride and Prejudice (2005),pride and prejudice,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   A Clockwork Orange (1971),a clockwork orange,"Crime, Sci-Fi","reggae,ambient,dubstep,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,chill,electronic"
   101 Dalmatians (1996),101 dalmatians,"Adventure, Comedy, Crime","acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   A Goofy Movie (1995),a goofy movie,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Fast and the Furious,the fast and the furious,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   The Wizard of Oz (1939),the wizard of oz,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Pulp Fiction (1994),pulp fiction,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Hangover Trilogy,the hangover trilogy,,"pop,hip-hop,dubstep,singer-songwriter,indie"
   The Croods (2013),the croods,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Happy Death Day,happy death day,"Comedy, Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Edward Scissorhands (1990),edward scissorhands,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
"  I, Tonya (2017)","i, tonya","Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Grease (1978),grease,Action,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Mad Max,mad max,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Ratatouille (2007),ratatouille,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Scott Pilgrim vs. the World (2010),scott pilgrim vs. the world,"Action, Comedy, Fantasy","folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Napoleon Dynamite (2004),napoleon dynamite,,"indie,alternative,trip-hop"
   The Road to El Dorado (2000),the road to el dorado,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Lion King (2019),the lion king,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Megan Is Missing (2011),megan is missing,"Drama, Horror, Thriller","acoustic,darkwave,piano,ambient,dubstep,metal,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,noise,alternative,dark-ambient,chill,electronic,indie,industrial"
   Taxi Driver (1976),taxi driver,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Us (2019),us,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Mary Poppins (1964),mary poppins,"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Fargo (1996),fargo,"Crime, Thriller","reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
   Robin Hood (1973),robin hood,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Princess Diaries,the princess diaries,"Comedy, Family, Romance","folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
   Alice in Wonderland (1951),alice in wonderland,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   The Wolf of Wall Street (2013),the wolf of wall street,"Biography, Comedy, Crime","acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
   The Fifth Element (1997),the fifth element,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Requiem for a Dream (2000),requiem for a dream,,"jazz,ambient,house,edm,soul"
   Hocus Pocus (1993),hocus pocus,"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Scarface (1983),scarface,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Dictator (2012),the dictator,"Adventure, Romance","acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
   Bambi (1942),bambi,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Jurassic Park / Jurassic World,jurassic park / jurassic world,,"ambient,new-age,alternative,rock"
   The Addams Family,the addams family,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
"   Love, Rosie (2014)","love, rosie","Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Alien,alien,"Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   21 Jump Street (2012),21 jump street,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Lady Bird (2017),lady bird,,"alternative,singer-songwriter,indie,punk,romantic"
   Rush Hour (1998),rush hour,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Phantom Thread (2017),phantom thread,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Enchanted (2007),enchanted,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Big Hero 6 (2014),big hero 6,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Taken,taken,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Mulan (1998),mulan,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Who Framed Roger Rabbit,who framed roger rabbit,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Freaky Friday (2003),freaky friday,"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Sense and Sensibility (1995),sense and sensibility,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Emperor's New Groove (2000),the emperor's new groove,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   John Wick,john wick,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Uncut Gems (2019),uncut gems,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The Usual Suspects (1995),the usual suspects,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   The Big Lebowski (1998),the big lebowski,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   The Good Dinosaur (2015),the good dinosaur,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Charlie's Angels (2019),charlie's angels,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Zombieland,zombieland,"Action, Comedy, Horror","darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
   Lady and the Tramp (1955),lady and the tramp,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   A Nightmare on Elm Street (1984),a nightmare on elm street,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   The Green Mile (1999),the green mile,"Crime, Drama, Fantasy","piano,epic-fantasy,soundtrack,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Barnyard (2006),barnyard,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Gentlemen (2019),the gentlemen,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   ParaNorman (2012),paranorman,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Mask (1994),the mask,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Bad Boys,bad boys,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Over the Moon (2020),over the moon,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Truman Show (1998),the truman show,,"trip-hop,alternative,synthwave"
   The Irishman (2019),the irishman,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Over The Hedge (2006),over the hedge,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Superbad (2007),superbad,,"r-n-b,hip-hop,pop,happy"
   The Devil's Advocate (1997),the devil's advocate,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   The Fault in Our Stars (2014),the fault in our stars,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Song of the Sea (2014),song of the sea,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Jackie Brown (1997),jackie brown,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Cube (1997),cube,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Rio (2011),rio,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The DUFF (2015),the duff,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Bolt (2008),bolt,"Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   The Conjuring,the conjuring,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Pitch Perfect,pitch perfect,"Comedy, Music, Romance","jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,r-n-b,indie,soul"
   Rush (2013),rush,"Action, Biography, Drama","acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   The Ballad of Buster Scruggs (2018),the ballad of buster scruggs,"Comedy, Drama, Musical","acoustic,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   Good Will Hunting (1997),good will hunting,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Carrie (1976),carrie,"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Anastasia (1997),anastasia,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Frozen (Franchise),frozen,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Paul Blart: Mall Cop (2009),paul blart: mall cop,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Mean Streets (1973),mean streets,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Uptown girls (2003),uptown girls,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Corpse Bride (2005),corpse bride,"Animation, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Maze Runner,maze runner,,
   Oliver & Company (1988),oliver & company,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Prestige (2006),the prestige,"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Ghost (1990),ghost,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Only Lovers Left Alive (2013),only lovers left alive,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Empire Records (1995),empire records,"Comedy, Drama, Music","acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   The Cabin in the Woods (2012),the cabin in the woods,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Percy Jackson (film series 2010-2013),percy jackson,,"dubstep,indie,rock,pop"
   Starship Troopers (1997),starship troopers,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Hunt for the Wilderpeople (2016),hunt for the wilderpeople,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Wedding Crashers (2005),wedding crashers,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Gone Girl (2014),gone girl,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Wolfwalkers (2020),wolfwalkers,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Natural Born Killers (1994),natural born killers,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Legends of the Fall (1994),legends of the fall,"Drama, Romance, War","acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   Tropic Thunder (2008),tropic thunder,"Action, Comedy, War","punk,patriotic,dubstep,hard-rock,alternative,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Crazy Rich Asians (2018),crazy rich asians,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Vicky Cristina Barcelona,vicky cristina barcelona,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Florida Project (2017),the florida project,,"indie,singer-songwriter,acoustic,indie-pop"
   The Sisterhood of the Traveling Pants (2005),the sisterhood of the traveling pants,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Jumanji (Reboot),jumanji,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   X-Men Cinematic Universe (2011-2020),x-men cinematic universe,,"synth,rock,alternative"
   Mank (2020),mank,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Sing (2016),sing,"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Annihilation (2018),annihilation,"Adventure, Drama, Horror","acoustic,indie,folk,ambient,piano,darkwave,metal,singer-songwriter,indie-pop,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
   King Kong (2005),king kong,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   10 Cloverfield Lane (2016),10 cloverfield lane,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Don Jon,don jon,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Sandlot (1993),the sandlot,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
